Age,Income,Education,Employment_Status,Marital_Status,Credit_Score,Loan_Approval
29,75761,Masters,Employed,Divorced,344,Approved
67,82552,High School,Self-Employed,Divorced,538,Denied
52,97454,High School,Employed,Single,454,Approved
50,110600,Bachelors,Employed,Single,480,Approved
50,47935,PhD,Employed,Divorced,514,Approved
68,57641,High School,Unemployed,Widowed,387,Approved
60,49711,Masters,Unemployed,Married,555,Approved
54,90342,Masters,Employed,Widowed,810,Denied
29,32182,PhD,Self-Employed,Married,372,Approved
20,107833,Masters,Employed,Widowed,478,Denied
18,76276,PhD,Self-Employed,Single,511,Denied
50,39541,Masters,Employed,Divorced,533,Denied
57,114457,Bachelors,Self-Employed,Divorced,764,Approved
27,102310,High School,Unemployed,Single,522,Approved
60,64813,Bachelors,Self-Employed,Married,563,Approved
61,57198,High School,Employed,Married,506,Denied
46,28820,High School,Unemployed,Married,665,Approved
30,44070,High School,Self-Employed,Single,575,Approved
29,89768,Bachelors,Self-Employed,Married,679,Denied
48,31122,High School,Self-Employed,Single,608,Denied
63,100559,Bachelors,Self-Employed,Widowed,567,Denied
19,93543,PhD,Self-Employed,Widowed,363,Denied
68,103441,Masters,Unemployed,Single,649,Denied
67,61786,Masters,Unemployed,Divorced,793,Denied
52,114934,High School,Unemployed,Widowed,822,Approved
40,119804,Bachelors,Unemployed,Married,397,Denied
34,26737,Masters,Employed,Single,370,Approved
43,56062,Bachelors,Unemployed,Married,663,Approved
25,74237,Bachelors,Self-Employed,Married,575,Approved
46,71571,High School,Self-Employed,Divorced,349,Denied
43,45510,Masters,Unemployed,Married,657,Approved
27,39426,High School,Self-Employed,Divorced,784,Denied
43,57265,High School,Unemployed,Widowed,383,Denied
51,37850,Masters,Self-Employed,Single,595,Approved
68,86150,Masters,Employed,Married,535,Denied
58,107312,PhD,Employed,Single,355,Approved
24,109613,PhD,Unemployed,Married,659,Approved
21,94910,Bachelors,Unemployed,Single,409,Denied
67,72375,Masters,Unemployed,Married,491,Approved
62,55435,PhD,Self-Employed,Married,392,Approved
28,116443,Bachelors,Unemployed,Married,359,Approved
46,77132,Bachelors,Employed,Married,338,Denied
53,98945,Bachelors,Self-Employed,Married,839,Approved
42,102050,PhD,Unemployed,Married,348,Denied
38,115402,Masters,Self-Employed,Married,719,Denied
53,22983,High School,Self-Employed,Married,312,Approved
27,117241,Bachelors,Unemployed,Married,335,Approved
54,40662,PhD,Self-Employed,Single,400,Denied
26,43510,PhD,Employed,Divorced,385,Denied
41,98187,High School,Employed,Married,815,Approved
52,60998,High School,Self-Employed,Divorced,522,Approved
66,76846,PhD,Unemployed,Married,637,Denied
52,114071,Masters,Self-Employed,Married,465,Denied
65,26640,High School,Employed,Single,682,Denied
53,64547,PhD,Self-Employed,Widowed,675,Denied
35,74620,High School,Self-Employed,Widowed,770,Denied
66,35317,Masters,Employed,Single,330,Approved
56,27564,Bachelors,Self-Employed,Divorced,674,Denied
49,47345,High School,Self-Employed,Widowed,310,Denied
41,114223,Masters,Unemployed,Single,601,Approved
40,99273,PhD,Unemployed,Single,395,Approved
49,94859,High School,Employed,Widowed,489,Denied
54,100765,High School,Employed,Divorced,752,Denied
29,94038,PhD,Employed,Single,491,Approved
66,72393,Bachelors,Unemployed,Married,785,Denied
30,86081,PhD,Employed,Divorced,565,Denied
40,49430,High School,Employed,Divorced,723,Approved
42,95532,PhD,Employed,Widowed,427,Denied
52,47788,Masters,Unemployed,Widowed,537,Approved
58,115505,PhD,Self-Employed,Married,654,Approved
47,68543,High School,Employed,Single,411,Approved
34,33919,PhD,Self-Employed,Widowed,745,Approved
66,89346,Bachelors,Employed,Widowed,642,Denied
37,116122,PhD,Self-Employed,Divorced,444,Approved
65,59974,Bachelors,Unemployed,Widowed,364,Denied
42,36371,Masters,Unemployed,Widowed,546,Denied
39,65084,Bachelors,Employed,Widowed,789,Denied
30,49629,PhD,Self-Employed,Widowed,738,Denied
36,71184,High School,Unemployed,Divorced,405,Denied
66,81916,Bachelors,Employed,Married,480,Approved
53,93972,Masters,Employed,Married,483,Approved
29,82187,Bachelors,Unemployed,Single,525,Approved
58,32984,Bachelors,Unemployed,Widowed,388,Approved
36,53039,Bachelors,Employed,Divorced,829,Denied
29,105431,Masters,Self-Employed,Single,670,Approved
26,103691,PhD,Self-Employed,Single,698,Denied
24,78606,Bachelors,Self-Employed,Married,405,Denied
45,30616,Bachelors,Employed,Divorced,570,Approved
31,70072,High School,Unemployed,Divorced,802,Approved
48,44574,Masters,Employed,Divorced,824,Approved
69,23430,Bachelors,Unemployed,Married,331,Approved
36,32676,Masters,Self-Employed,Married,692,Denied
64,30816,Bachelors,Self-Employed,Married,339,Denied
33,52733,PhD,Unemployed,Married,517,Approved
22,105680,PhD,Unemployed,Married,381,Denied
52,22050,Bachelors,Employed,Widowed,500,Denied
29,53933,PhD,Self-Employed,Widowed,746,Denied
42,44951,Bachelors,Employed,Divorced,727,Approved
69,52413,PhD,Employed,Single,337,Denied
38,54801,High School,Employed,Divorced,510,Approved
53,75619,High School,Self-Employed,Single,743,Approved
40,52913,High School,Employed,Married,626,Denied
33,60600,Masters,Employed,Single,526,Denied
56,77775,Masters,Employed,Divorced,347,Approved
62,110816,High School,Employed,Divorced,317,Denied
59,110093,Masters,Employed,Single,738,Denied
56,55400,PhD,Employed,Widowed,486,Approved
31,24494,Bachelors,Self-Employed,Married,644,Approved
48,100688,Bachelors,Employed,Married,523,Approved
22,109431,Bachelors,Unemployed,Divorced,787,Approved
52,94691,High School,Employed,Widowed,528,Denied
40,117419,Masters,Employed,Single,689,Denied
46,63001,PhD,Self-Employed,Married,487,Approved
60,87364,PhD,Self-Employed,Widowed,569,Approved
28,65028,High School,Unemployed,Married,609,Approved
35,117659,PhD,Unemployed,Widowed,431,Denied
64,57573,PhD,Self-Employed,Widowed,371,Approved
29,20806,PhD,Self-Employed,Divorced,486,Denied
26,76638,PhD,Employed,Married,785,Approved
27,49757,Masters,Self-Employed,Single,490,Approved
61,54636,PhD,Unemployed,Divorced,721,Approved
34,100097,Bachelors,Employed,Divorced,419,Denied
55,68280,High School,Unemployed,Single,519,Denied
24,44262,Masters,Employed,Divorced,352,Denied
63,100435,PhD,Self-Employed,Widowed,750,Approved
30,82211,Masters,Unemployed,Widowed,711,Denied
57,74842,PhD,Employed,Married,536,Denied
59,76979,Bachelors,Employed,Married,705,Approved
26,101470,High School,Self-Employed,Single,721,Approved
67,58197,PhD,Self-Employed,Married,546,Denied
44,61844,PhD,Self-Employed,Widowed,371,Denied
19,84754,PhD,Unemployed,Single,484,Denied
22,54157,PhD,Employed,Single,305,Denied
46,97129,High School,Self-Employed,Married,505,Approved
54,60042,High School,Unemployed,Widowed,843,Approved
55,81665,Bachelors,Unemployed,Single,686,Approved
36,102856,High School,Unemployed,Widowed,375,Denied
25,47376,PhD,Self-Employed,Widowed,476,Denied
65,75554,Bachelors,Self-Employed,Widowed,648,Approved
62,34199,Bachelors,Employed,Married,554,Approved
18,101412,Bachelors,Employed,Divorced,607,Denied
39,70948,PhD,Self-Employed,Divorced,644,Denied
69,93781,Masters,Unemployed,Single,426,Approved
34,92750,PhD,Unemployed,Widowed,586,Approved
24,86262,High School,Unemployed,Married,786,Approved
42,66600,High School,Employed,Widowed,682,Denied
62,96898,PhD,Unemployed,Widowed,705,Denied
21,82483,PhD,Employed,Married,687,Denied
53,38297,Bachelors,Employed,Divorced,824,Denied
23,50448,PhD,Unemployed,Widowed,575,Denied
48,46172,Bachelors,Unemployed,Widowed,799,Denied
36,62874,High School,Self-Employed,Divorced,636,Approved
61,27657,Bachelors,Self-Employed,Married,780,Approved
56,104386,PhD,Unemployed,Single,572,Denied
44,45425,High School,Employed,Divorced,357,Approved
27,46685,Masters,Employed,Single,627,Denied
43,44578,Bachelors,Employed,Single,408,Approved
36,48831,High School,Employed,Divorced,578,Denied
56,27906,Bachelors,Employed,Widowed,627,Approved
20,81413,High School,Self-Employed,Single,614,Approved
62,74028,High School,Unemployed,Single,773,Denied
30,27287,Bachelors,Self-Employed,Married,410,Denied
67,53660,Masters,Employed,Widowed,528,Approved
45,95758,High School,Employed,Single,796,Approved
37,80504,High School,Employed,Married,455,Denied
45,79720,High School,Employed,Widowed,772,Approved
25,54701,Masters,Unemployed,Divorced,571,Denied
58,103300,Masters,Employed,Divorced,301,Denied
56,37674,PhD,Unemployed,Married,810,Approved
18,103560,Bachelors,Employed,Divorced,585,Denied
20,43874,Masters,Unemployed,Single,312,Approved
30,63642,Bachelors,Self-Employed,Widowed,797,Approved
45,117820,PhD,Employed,Single,537,Denied
66,85160,Bachelors,Unemployed,Single,393,Approved
42,37602,Masters,Self-Employed,Divorced,637,Denied
50,108801,Bachelors,Employed,Single,470,Denied
55,45931,Masters,Employed,Divorced,766,Denied
23,114377,Bachelors,Employed,Widowed,442,Approved
61,49192,Masters,Unemployed,Widowed,500,Denied
62,66542,Masters,Unemployed,Single,479,Approved
49,62520,Bachelors,Self-Employed,Married,663,Denied
62,84772,PhD,Unemployed,Divorced,778,Denied
64,78762,High School,Unemployed,Divorced,770,Denied
38,70106,PhD,Employed,Single,683,Approved
33,101121,Bachelors,Employed,Divorced,716,Approved
38,45559,PhD,Employed,Divorced,607,Denied
28,53742,Masters,Employed,Married,666,Denied
54,89669,High School,Employed,Married,300,Approved
53,100199,Bachelors,Employed,Single,343,Approved
52,41754,Bachelors,Employed,Married,397,Approved
36,23972,Bachelors,Self-Employed,Single,564,Denied
37,90831,High School,Self-Employed,Widowed,439,Approved
35,61873,Masters,Self-Employed,Single,780,Denied
64,114661,Bachelors,Self-Employed,Widowed,536,Approved
58,29903,PhD,Employed,Single,371,Denied
66,23020,Bachelors,Self-Employed,Divorced,489,Denied
31,61755,Bachelors,Employed,Married,567,Denied
32,105956,Bachelors,Self-Employed,Widowed,620,Approved
48,106988,Bachelors,Unemployed,Single,406,Approved
18,65648,Masters,Self-Employed,Married,531,Approved
20,29516,PhD,Self-Employed,Single,341,Denied
33,22396,Masters,Employed,Married,438,Denied
40,104082,PhD,Self-Employed,Married,572,Approved
28,39129,Bachelors,Unemployed,Single,780,Denied
29,21591,High School,Employed,Widowed,715,Denied
27,31303,Masters,Employed,Widowed,805,Denied
49,50561,High School,Self-Employed,Divorced,723,Approved
33,91719,Masters,Employed,Married,706,Denied
25,112108,Bachelors,Employed,Divorced,689,Approved
55,119616,Masters,Employed,Divorced,641,Approved
29,106231,Bachelors,Employed,Single,792,Approved
41,27314,Masters,Employed,Single,491,Approved
45,39623,Bachelors,Employed,Single,798,Approved
25,87675,Bachelors,Unemployed,Married,532,Denied
45,116826,PhD,Self-Employed,Single,526,Approved
53,85082,Bachelors,Unemployed,Single,670,Approved
43,103624,PhD,Employed,Married,438,Approved
25,53130,Bachelors,Employed,Married,448,Denied
67,71756,High School,Self-Employed,Widowed,414,Denied
45,117624,Bachelors,Unemployed,Single,749,Denied
45,46292,High School,Self-Employed,Single,362,Denied
54,106206,High School,Unemployed,Single,403,Approved
58,89274,Bachelors,Employed,Widowed,572,Approved
53,22469,High School,Self-Employed,Single,305,Denied
44,73947,PhD,Self-Employed,Widowed,446,Denied
34,42534,Masters,Employed,Divorced,483,Denied
26,83620,Bachelors,Self-Employed,Widowed,327,Denied
50,68874,High School,Unemployed,Divorced,849,Approved
37,69708,Bachelors,Unemployed,Single,418,Denied
30,94553,PhD,Unemployed,Divorced,592,Denied
45,88344,Bachelors,Unemployed,Widowed,670,Denied
65,69138,Bachelors,Employed,Married,543,Denied
46,74302,High School,Self-Employed,Divorced,517,Denied
30,67638,PhD,Unemployed,Divorced,476,Denied
63,98249,Masters,Employed,Single,598,Denied
52,22719,Masters,Self-Employed,Widowed,357,Approved
23,42890,High School,Self-Employed,Divorced,568,Approved
35,97236,Bachelors,Employed,Divorced,607,Approved
68,56509,High School,Employed,Divorced,587,Approved
22,62534,High School,Unemployed,Divorced,404,Approved
64,112241,High School,Self-Employed,Married,527,Approved
42,38787,Bachelors,Self-Employed,Widowed,546,Denied
19,68845,PhD,Employed,Single,793,Denied
27,77932,High School,Self-Employed,Single,382,Approved
47,112124,Bachelors,Unemployed,Married,485,Denied
67,111659,PhD,Self-Employed,Widowed,551,Approved
62,53062,High School,Employed,Divorced,654,Denied
22,95713,Masters,Employed,Married,509,Denied
50,107263,PhD,Unemployed,Widowed,746,Denied
18,115756,High School,Unemployed,Divorced,759,Denied
35,80461,PhD,Self-Employed,Married,771,Denied
49,95418,PhD,Self-Employed,Widowed,669,Denied
64,86672,PhD,Employed,Single,791,Approved
66,54832,PhD,Unemployed,Single,436,Approved
28,51966,PhD,Unemployed,Widowed,666,Denied
38,92545,PhD,Unemployed,Single,483,Approved
43,32987,High School,Self-Employed,Widowed,586,Denied
42,57311,Masters,Unemployed,Divorced,771,Approved
39,51575,Bachelors,Employed,Widowed,674,Denied
44,83852,PhD,Employed,Divorced,836,Approved
66,21007,Bachelors,Self-Employed,Married,810,Denied
30,90981,High School,Self-Employed,Widowed,549,Approved
50,96242,PhD,Unemployed,Married,809,Denied
51,67517,Masters,Self-Employed,Single,372,Approved
58,49257,Bachelors,Employed,Divorced,581,Denied
52,107272,PhD,Unemployed,Widowed,659,Denied
18,62207,High School,Employed,Married,309,Denied
38,33281,Masters,Unemployed,Divorced,510,Approved
65,81246,Bachelors,Self-Employed,Divorced,451,Approved
23,21435,Bachelors,Unemployed,Single,304,Approved
45,118875,PhD,Unemployed,Single,494,Denied
34,111357,Masters,Employed,Divorced,582,Approved
22,46660,Masters,Employed,Divorced,763,Denied
48,25084,Masters,Unemployed,Widowed,412,Approved
22,102197,Masters,Self-Employed,Divorced,570,Approved
55,33507,High School,Self-Employed,Widowed,462,Approved
20,92595,Masters,Employed,Divorced,759,Approved
40,103807,Bachelors,Self-Employed,Single,404,Denied
54,65539,Bachelors,Employed,Widowed,581,Approved
54,27491,High School,Self-Employed,Married,461,Approved
27,70192,Bachelors,Unemployed,Single,650,Denied
27,100395,Bachelors,Employed,Widowed,733,Denied
36,83888,Masters,Employed,Widowed,439,Approved
34,93609,Bachelors,Unemployed,Married,770,Approved
38,29077,High School,Employed,Widowed,431,Denied
31,40953,Masters,Self-Employed,Divorced,386,Denied
26,96919,PhD,Self-Employed,Married,482,Denied
63,87889,Masters,Employed,Single,667,Approved
18,43821,High School,Self-Employed,Single,428,Approved
68,57567,Masters,Employed,Divorced,545,Approved
62,44860,Masters,Unemployed,Single,677,Denied
30,41195,High School,Employed,Widowed,448,Denied
21,97475,Masters,Unemployed,Widowed,732,Denied
18,110874,High School,Self-Employed,Divorced,768,Approved
66,107266,High School,Unemployed,Single,745,Denied
57,41427,PhD,Self-Employed,Single,780,Approved
49,47083,Bachelors,Employed,Divorced,593,Denied
51,107046,Bachelors,Self-Employed,Married,442,Approved
45,77372,Masters,Employed,Single,549,Approved
48,64064,Masters,Employed,Married,601,Denied
25,27813,PhD,Unemployed,Single,324,Approved
56,51598,PhD,Unemployed,Single,369,Denied
43,113106,PhD,Unemployed,Single,411,Approved
51,47082,High School,Unemployed,Single,663,Denied
20,49241,PhD,Self-Employed,Widowed,602,Denied
67,116214,PhD,Self-Employed,Married,770,Approved
29,64569,Masters,Self-Employed,Married,390,Denied
18,31745,PhD,Employed,Single,829,Approved
61,46029,High School,Self-Employed,Single,491,Denied
22,33025,High School,Self-Employed,Married,541,Denied
47,34288,Masters,Self-Employed,Widowed,437,Denied
47,109186,PhD,Unemployed,Divorced,644,Denied
34,26540,PhD,Self-Employed,Divorced,479,Approved
65,117768,High School,Employed,Married,802,Denied
64,101958,PhD,Unemployed,Single,502,Denied
40,88878,PhD,Employed,Single,491,Approved
32,61846,PhD,Self-Employed,Widowed,304,Approved
54,95932,Bachelors,Unemployed,Divorced,536,Approved
38,37482,Masters,Employed,Widowed,610,Approved
31,43411,Bachelors,Self-Employed,Divorced,848,Approved
19,70975,Masters,Employed,Married,355,Approved
28,80545,High School,Employed,Divorced,742,Denied
68,98797,PhD,Employed,Widowed,536,Approved
56,72307,Masters,Self-Employed,Widowed,496,Denied
55,23093,Bachelors,Self-Employed,Widowed,813,Approved
51,97258,PhD,Employed,Married,748,Denied
55,42042,High School,Unemployed,Divorced,659,Denied
67,72930,Masters,Unemployed,Divorced,329,Denied
51,64413,Masters,Self-Employed,Widowed,407,Approved
35,113623,Masters,Self-Employed,Divorced,744,Approved
47,117883,PhD,Self-Employed,Single,737,Approved
32,53756,Bachelors,Self-Employed,Single,756,Approved
44,73268,Bachelors,Self-Employed,Single,794,Denied
68,59214,Masters,Unemployed,Divorced,546,Approved
51,101871,High School,Self-Employed,Married,842,Denied
69,48602,High School,Employed,Married,738,Denied
55,73331,Bachelors,Employed,Married,577,Approved
50,68901,High School,Unemployed,Married,410,Approved
41,119986,Bachelors,Employed,Single,684,Approved
32,83416,Masters,Unemployed,Single,490,Denied
47,52196,Bachelors,Unemployed,Widowed,789,Approved
59,25626,Bachelors,Employed,Divorced,725,Denied
68,27424,Masters,Self-Employed,Divorced,704,Approved
34,32857,High School,Employed,Married,634,Denied
22,39982,Bachelors,Employed,Single,508,Approved
46,96961,Bachelors,Unemployed,Married,321,Approved
21,21980,Masters,Employed,Widowed,507,Denied
27,68290,High School,Unemployed,Divorced,307,Approved
34,46431,Bachelors,Self-Employed,Divorced,828,Approved
27,104976,Masters,Self-Employed,Married,465,Approved
34,102711,Bachelors,Self-Employed,Widowed,795,Approved
37,46385,PhD,Employed,Divorced,728,Approved
41,58158,Masters,Unemployed,Widowed,462,Approved
22,43019,High School,Self-Employed,Widowed,665,Approved
51,38639,High School,Unemployed,Married,825,Denied
23,105530,High School,Unemployed,Single,538,Denied
19,119911,High School,Self-Employed,Married,371,Approved
30,41563,Bachelors,Self-Employed,Single,744,Approved
60,59341,Bachelors,Unemployed,Widowed,808,Approved
60,25776,High School,Self-Employed,Single,568,Denied
65,56444,High School,Unemployed,Widowed,714,Denied
28,88916,High School,Unemployed,Divorced,544,Approved
68,28711,Bachelors,Self-Employed,Divorced,359,Denied
64,94318,High School,Employed,Divorced,305,Approved
40,102970,High School,Self-Employed,Married,706,Approved
33,105553,PhD,Employed,Married,516,Approved
48,50707,PhD,Unemployed,Widowed,325,Approved
28,59110,High School,Unemployed,Divorced,304,Denied
33,81788,Masters,Employed,Married,831,Denied
25,102879,High School,Unemployed,Divorced,689,Approved
21,58827,PhD,Employed,Married,747,Denied
57,25655,Masters,Employed,Single,445,Denied
21,64859,Masters,Unemployed,Single,687,Approved
42,73625,High School,Employed,Divorced,548,Denied
20,72098,PhD,Self-Employed,Widowed,825,Approved
49,35251,PhD,Self-Employed,Married,761,Approved
20,20526,Masters,Unemployed,Married,312,Approved
44,88760,High School,Unemployed,Single,683,Approved
46,67837,Bachelors,Employed,Single,698,Denied
49,31536,Bachelors,Employed,Widowed,318,Approved
67,48541,PhD,Employed,Widowed,790,Denied
68,99083,Bachelors,Employed,Widowed,718,Approved
36,71027,PhD,Self-Employed,Divorced,636,Approved
38,54531,PhD,Self-Employed,Single,718,Denied
22,28712,PhD,Unemployed,Divorced,421,Approved
35,85455,Bachelors,Employed,Single,731,Denied
45,94744,PhD,Employed,Single,343,Denied
59,25109,Masters,Unemployed,Married,616,Approved
39,69268,High School,Employed,Single,680,Approved
38,74615,High School,Employed,Single,444,Approved
23,102503,PhD,Employed,Divorced,626,Approved
18,49759,High School,Employed,Single,662,Approved
22,105708,Bachelors,Employed,Divorced,349,Approved
58,80112,Bachelors,Unemployed,Widowed,364,Denied
29,46589,High School,Employed,Single,654,Denied
43,50015,Bachelors,Unemployed,Single,463,Approved
63,49009,High School,Employed,Divorced,440,Denied
51,103309,High School,Self-Employed,Widowed,427,Denied
66,82046,High School,Self-Employed,Married,697,Approved
31,46143,PhD,Self-Employed,Widowed,762,Approved
43,26154,High School,Self-Employed,Divorced,486,Denied
62,41804,PhD,Unemployed,Widowed,489,Approved
44,61688,High School,Unemployed,Divorced,687,Denied
26,84288,High School,Employed,Divorced,728,Approved
43,71195,High School,Self-Employed,Married,583,Denied
64,40581,Bachelors,Unemployed,Single,536,Denied
39,72648,PhD,Employed,Divorced,493,Denied
64,50087,PhD,Employed,Divorced,586,Denied
47,69930,High School,Unemployed,Married,435,Approved
60,52981,High School,Self-Employed,Divorced,470,Approved
65,89298,Bachelors,Employed,Single,458,Denied
34,66167,Bachelors,Self-Employed,Married,500,Denied
43,95304,Bachelors,Self-Employed,Single,786,Approved
53,63408,PhD,Self-Employed,Single,803,Approved
18,59499,PhD,Employed,Married,670,Denied
25,72269,PhD,Self-Employed,Divorced,402,Denied
66,58559,High School,Employed,Single,424,Denied
52,94319,PhD,Self-Employed,Single,612,Denied
69,115317,Masters,Employed,Single,757,Denied
32,116347,Masters,Self-Employed,Single,529,Approved
64,68787,Bachelors,Unemployed,Married,496,Denied
39,55488,PhD,Self-Employed,Married,722,Approved
31,94441,Masters,Self-Employed,Widowed,470,Approved
43,94663,Bachelors,Employed,Widowed,681,Approved
45,42431,PhD,Employed,Single,472,Denied
40,81681,High School,Self-Employed,Divorced,752,Approved
31,83483,Masters,Unemployed,Single,649,Approved
41,69153,High School,Unemployed,Divorced,793,Approved
19,26368,PhD,Employed,Single,303,Approved
62,47424,Masters,Unemployed,Widowed,392,Denied
43,65004,PhD,Self-Employed,Widowed,305,Denied
31,103869,High School,Employed,Divorced,587,Approved
68,108652,Masters,Self-Employed,Single,445,Approved
24,76985,High School,Employed,Divorced,723,Denied
20,70069,PhD,Employed,Widowed,756,Denied
64,72326,PhD,Employed,Single,501,Denied
40,101061,High School,Employed,Single,511,Approved
63,43398,Masters,Unemployed,Divorced,305,Denied
60,118393,High School,Self-Employed,Married,675,Approved
64,70861,PhD,Self-Employed,Divorced,746,Approved
62,95897,High School,Self-Employed,Widowed,405,Denied
35,101905,PhD,Employed,Widowed,700,Approved
55,88577,High School,Unemployed,Widowed,395,Denied
